keys,en,es,fr,de,pt
Begin Operation,Begin Operation,Iniciar operación,Lancer l'opération,Operation starten,Iniciar operação
Continue,Continue,Continuar,Continuer,Fortsetzen,Continuar
Settings,Settings,Ajustes,Paramètres,Einstellungen,Configurações
Controls,Controls,Controles,Commandes,Steuerung,Controles
Quit,Quit,Salir,Quitter,Beenden,Sair
Back,Back,Atrás,Retour,Zurück,Voltar
Gun Range,Gun Range,Galería de tiro,Stand de tir,Schießstand,Campo de tiro
Last Stand,Last Stand,Última resistencia,Dernier rempart,Letztes Gefecht,Último combate
Select difficulty,Select difficulty,Selecciona dificultad,Choisir la difficulté,Schwierigkeit wählen,Selecionar dificuldade
The machines have turned. Push them back.,The machines have turned. Push them back.,Las máquinas se han rebelado. Hazlas retroceder.,Les machines se sont retournées. Repoussez-les.,Die Maschinen haben sich gewendet. Schlag sie zurück.,As máquinas se voltaram. Faça-as recuar.
"Easy — fewer, weaker foes · more supplies","Easy — fewer, weaker foes · more supplies","Fácil — menos enemigos, más débiles · más suministros","Facile — moins d'ennemis, plus faibles · plus de ravitaillement","Leicht — weniger, schwächere Gegner · mehr Nachschub","Fácil — menos inimigos, mais fracos · mais suprimentos"
Normal — the intended fight,Normal — the intended fight,Normal — el combate previsto,Normal — le combat prévu,Normal — der vorgesehene Kampf,Normal — o combate pretendido
"Hard — more, tougher foes · scarce supplies","Hard — more, tougher foes · scarce supplies","Difícil — más enemigos, más duros · escasos suministros","Difficile — plus d'ennemis, plus coriaces · ravitaillement rare","Schwer — mehr, zähere Gegner · knapper Nachschub","Difícil — mais inimigos, mais resistentes · poucos suprimentos"
Master Volume,Master Volume,Volumen general,Volume général,Gesamtlautstärke,Volume geral
Volume,Volume,Volumen,Volume,Lautstärke,Volume
Music,Music,Música,Musique,Musik,Música
Music Volume,Music Volume,Volumen de música,Volume musique,Musiklautstärke,Volume da música
SFX,SFX,Efectos,Effets,Effekte,Efeitos
SFX Volume,SFX Volume,Volumen de efectos,Volume effets,Effektlautstärke,Volume dos efeitos
Field of View,Field of View,Campo de visión,Champ de vision,Sichtfeld,Campo de visão
Look Sensitivity,Look Sensitivity,Sensibilidad,Sensibilité,Empfindlichkeit,Sensibilidade
Invert Look Y,Invert Look Y,Invertir eje Y,Inverser l'axe Y,Y-Achse umkehren,Inverter eixo Y
Framerate: %s,Framerate: %s,Cuadros: %s,Images/s : %s,Bildrate: %s,Quadros: %s
Uncapped,Uncapped,Sin límite,Illimité,Unbegrenzt,Sem limite
%d FPS,%d FPS,%d FPS,%d FPS,%d FPS,%d FPS
Graphics: %s,Graphics: %s,Gráficos: %s,Graphismes : %s,Grafik: %s,Gráficos: %s
Language,Language,Idioma,Langue,Sprache,Idioma
PAUSED,PAUSED,PAUSA,PAUSE,PAUSE,PAUSA
Resume,Resume,Reanudar,Reprendre,Fortsetzen,Retomar
Restart,Restart,Reiniciar,Recommencer,Neustart,Reiniciar
Replay Level,Replay Level,Repetir nivel,Rejouer le niveau,Level wiederholen,Repetir nível
Quit to Menu,Quit to Menu,Salir al menú,Quitter vers le menu,Zum Menü,Sair para o menu
Main Menu,Main Menu,Menú principal,Menu principal,Hauptmenü,Menu principal
Try Again,Try Again,Reintentar,Réessayer,Erneut versuchen,Tentar de novo
Finish,Finish,Finalizar,Terminer,Beenden,Concluir
Objective,Objective,Objetivo,Objectif,Ziel,Objetivo
Weapon,Weapon,Arma,Arme,Waffe,Arma
BOSS,BOSS,JEFE,BOSS,BOSS,CHEFE
Score: %d,Score: %d,Puntos: %d,Score : %d,Punkte: %d,Pontos: %d
Grenades (G): %d,Grenades (G): %d,Granadas (G): %d,Grenades (G) : %d,Granaten (G): %d,Granadas (G): %d
WEAPON ACQUIRED — ,WEAPON ACQUIRED — ,ARMA OBTENIDA — ,ARME OBTENUE — ,WAFFE ERHALTEN — ,ARMA OBTIDA —
⚠ WARNING — ,⚠ WARNING — ,⚠ ALERTA — ,⚠ ALERTE — ,⚠ WARNUNG — ,⚠ AVISO —
 DESTROYED, DESTROYED, DESTRUIDO, DÉTRUIT, ZERSTÖRT, DESTRUÍDO
